NUM;COUNTRY;Consumption;Investment;Governmemt_expenditure;Population_000s;Real_GDP
1;ALGERIA         ;34577798.84;12497999.58;15553066.14;25003;2777
2;BENIN           ;3279321.6;313977.6;824191.2;4740;920
3;BURKINA FASO    ;3469203.528;446896.072;1045828.952;9016;511
4;BURUNDI         ;2422521.2;205400.8;531625.6;5492;550
5;CAMEROON        ;7869532.168;1003118.104;3433207.032;11524;1226
6;CAPE VERDE IS.  ;308519.148;75755.974;53774.966;371;1058
7;CENTRAL AFR.R.  ;1536119.424;76631.808;245570.112;3008;579
8;CHAD            ;1586424;36261.12;766016.16;5680;399
9;COMOROS         ;188601.6;30272.7;80637.9;475;564
10;CONGO           ;2299731.852;196257.204;1811604.96;2276;2211
11;EGYPT           ;65656225.36;4410494.528;29971315.09;52426;1912
12;GABON           ;1659130.272;656458.048;642969.184;1136;3958
13;GAMBIA          ;461422.5;61523;209038.375;875;799
14;GHANA           ;11065510.5;737700.7;2467944.16;14870;902
15;GUINEA          ;2087230.964;249941.523;469188.473;5717;767
16;GUINEA-BISS     ;464551.36;76975.08;187035.94;980;689
17;IVORY COAST     ;9340820.522;678544.922;3132856.342;11902;1213
18;KENYA           ;15010656.32;2421073.6;4908176.48;24160;911
19;LESOTHO         ;1091244.96;529296.768;441653.472;1768;972
20;MADAGASCAR      ;6342816.375;189102.6;1449786.6;11673;675
21;MALAWI          ;2883081.849;309059.31;1298049.102;8507;519
22;MALI            ;3346733.7;372857.58;1015250.76;8460;531
23;MAURITANIA      ;1224178.494;188454.959;246081.682;1969;791
24;MAURITIUS       ;4788473.55;859791.45;947653.35;1075;5838
25;MOROCCO         ;38157313.89;5343103.359;12413270.43;25091;2151
26;MOZAMBIQUE      ;8559058.44;262621.04;3700569.2;15707;760
27;NAMIBIA         ;2542174.814;418904.412;1178682.022;1439;2854
28;NIGERIA         ;56188805.2;7657758.8;22207500.52;96203;995
29;RWANDA          ;3437605.332;272078.352;1642934.664;6921;756
30;SENEGAL         ;6417528.06;347580.78;1949843.4;7404;1145
31;SEYCHELLES      ;157775.776;51601.324;104013.14;68;3973
32;SIERRA LEONE    ;2694285.528;44718.432;1013617.792;4136;901
33;SOUTH AFRICA    ;73851208.37;15411354;29219927.18;37959;3248
34;SUDAN           ;12492412.18;2452848.054;4373294.98;25118;757
35;TOGO            ;1634702.558;298490.624;589985.374;3638;641
36;TUNISIA         ;16775672.76;2654973.42;4276151.88;8074;2910
37;UGANDA          ;7536001.06;162842.76;1320835.72;16330;554
38;ZAMBIA          ;3000629.45;621202.4;1802596.25;8050;689
39;ZIMBABWE        ;5968597.65;1541404.83;4021559.97;9805;1182
40;BELIZE          ;336035.712;139363.648;175181.408;188;3464
41;CANADA          ;284208478.9;120242048.8;55566401.33;26522;17173
42;COSTA RICA      ;6736071.858;1948537.116;2021869.158;2994;3499
43;DOMINICAN REP.  ;11369134.73;3079779.084;1501583.832;7074;2166
44;EL SALVADOR     ;6537573.504;632059.776;2518805.376;5172;1824
45;GRENADA         ;243294.688;40636.505;33033.546;91;2881
46;GUATEMALA       ;16236475.77;1408465.368;2308318.242;9197;2127
47;HONDURAS        ;5194863.315;948993.975;1159881.525;5105;1377
48;JAMAICA         ;4359106.54;1031315.44;893406.98;2356;2545
49;MEXICO          ;361916368.5;71430862.2;42858517.32;81724;5827
50;NICARAGUA       ;2801722.216;404323.24;1512644.592;3676;1294
51;PANAMA          ;3652205.232;1110326.256;1780711.92;2418;2888
52;ST.KITTS&NEVIS  ;116455.44;78778.68;42310.8;40;5037
53;TRINIDAD&TOBAGO ;6112845.648;1017208.224;1324289.952;1236;7764
54;U.S.A.          ;3060186292;917603865.9;592148307.5;250372;18054
55;ARGENTINA       ;120621114.3;17492343.18;5932185.948;32322;4706
56;BOLIVIA         ;8763796.712;606449.976;2199867.56;7172;1658
57;BRAZIL          ;419892151.5;91569020.13;81930175.9;149042;4042
58;CHILE           ;32686639.13;15086141.14;9428838.21;13173;4338
59;COLOMBIA        ;75678900;13963290;14283060;32300;3300
60;ECUADOR         ;18799869.3;4213262.825;4503832.675;10547;2755
61;GUYANA          ;445236.12;241824.324;232221.192;798;1094
62;PARAGUAY        ;6334613.376;1665566.448;1101276.176;4277;2128
63;PERU            ;30923844.19;7577989.216;8613490.848;21512;2188
64;URUGUAY         ;10080920.3;1409620.212;2505991.488;3094;4602
65;VENEZUELA       ;75824343;9712068.625;18019982.75;19325;6055
66;BANGLADESH      ;87441807.25;3762556.25;60652406.75;108275;1390
67;CHINA           ;896094786.3;351233132.3;237157414.1;1133683;1324
68;HONG KONG       ;60739611.77;14994297.47;4828672.065;5705;14849
69;INDIA           ;583066319.3;171805913.6;324283661.9;849515;1264
70;INDONESIA       ;194561972.3;99216050.98;50663515.39;178232;1974
71;IRAN            ;130738836.3;31975200.19;17785022.59;55779;3392
72;ISRAEL          ;25000648.36;8925708.08;12218687.76;4660;9298
73;JAPAN           ;966643175.9;685148185.1;136321473.5;123537;14331
74;JORDAN          ;8037524.88;918574.272;2956660.938;3278;2919
75;KOREA. REP.     ;165917605.5;105557924.9;24315511.15;42869;6673
76;LAOS            ;5143308.3;120411.9;596325.6;4140;1385
77;MALAYSIA        ;48330351.97;26941213.15;13288571.35;17763;5124
78;MONGOLIA        ;1956480.3;1895970.6;778558.14;2190;1842
79;PAKISTAN        ;111198278.7;15035260.22;32576397.15;112351;1394
80;PHILIPPINES     ;74463407.88;19184895.48;17342278.4;61480;1763
81;SINGAPORE       ;17104797;11086442.5;2629070.65;2705;11710
82;SRI LANKA       ;25359537.54;3917906.08;6517971.024;16993;2096
83;SYRIA           ;38056137.91;3777284.16;6279734.916;12116;3897
84;TAIWAN          ;97643212.21;37908541.21;24287723.37;20353;8063
85;THAILAND        ;123962315.1;54422479.8;28219063.6;56303;3580
86;AUSTRIA         ;60210861.6;25846613.76;12433787.68;7712;12695
87;BELGIUM         ;85856056.94;32838952.66;14507167.84;9967;13232
88;BULGARIA        ;36753203.01;18014088.88;3123185.688;8991;6203
89;CYPRUS          ;3794821.056;1362845.952;798909.696;702;8368
90;CZECHOSLOVAKIA  ;29502509.4;17893913.31;19433174.67;15662;4095
91;DENMARK         ;38541825.09;15230814;14515752.31;5141;13909
92;FINLAND         ;39044682.92;23062299.25;11075511.49;4986;14059
93;FRANCE          ;470939533.7;216143102.6;115959985.7;56735;13904
94;GERMANY. WEST   ;526844827.3;233044958;128764140.2;61990;14628
95;GREECE          ;53987821.63;12263731.06;9591744.96;10123;6768
96;HUNGARY         ;35276230.7;13172054.09;7179617.467;10553;5357
97;ICELAND         ;1976239.8;776866.68;620130.42;255;13362
98;IRELAND         ;18777383.12;7504455.882;3833444.996;3503;9274
99;ITALY           ;474526504.3;177857430.3;83528185.89;57661;12488
100;LUXEMBOURG      ;3725157.04;1958972.4;572144.32;382;16280
101;NETHERLANDS     ;120587147.4;43442542.58;22792724.14;14952;13029
102;NORWAY          ;26992499.27;13464642.49;10619999.71;4242;14902
103;POLAND          ;92319643.72;34219426.3;14415843.42;38119;3820
104;PORTUGAL        ;52097790.22;12028243.35;16455817.59;9868;7478
105;SPAIN           ;239686910.3;108643132.2;48161388.51;38959;9583
106;SWEDEN          ;68859637.11;30955249.71;28175594.63;8559;14762
107;SWITZERLAND     ;65471901.96;38662764.44;10524248.2;6712;16505
108;TURKEY          ;148582733.5;43021836.69;23504613.22;56098;3741
109;U.K.            ;512190801.2;140378219.6;123684593.5;57411;13217
110;YUGOSLAVIA      ;75365199.07;18191599.78;15701083.14;23809;4548
111;AUSTRALIA       ;158562476.1;58845390.98;31761738.23;17045;14445
112;FIJI            ;2164645.512;351974.88;601290.42;732;4007
113;NEW ZEALAND     ;24895814.82;10182891.6;5614141.755;3363;11513
114;PAPUA N.GUINEA  ;3014943.75;800671.875;1700737.5;3875;1425
115;VANUATU         ;142981.02;53248.104;74448.738;147;1677
116;WESTERN SAMOA   ;218288.64;64396.8;57792;160;2064
