NUM;COUNTRY;Consumption;Investment;Governmemt_expenditure;Population_000s;Real_GDP
1;ALGERIA         ;34577799;12498000;15553066;25003;2777
2;BENIN           ;3279322;313978;824191;4740;920
3;BURKINA FASO    ;3469204;446896;1045829;9016;511
4;BURUNDI         ;2422521;205401;531626;5492;550
5;CAMEROON        ;7869532;1003118;3433207;11524;1226
6;CAPE VERDE IS.  ;308519;75756;53775;371;1058
7;CENTRAL AFR.R.  ;1536119;76632;245570;3008;579
8;CHAD            ;1586424;36261;766016;5680;399
9;COMOROS         ;188602;30273;80638;475;564
10;CONGO           ;2299732;196257;1811605;2276;2211
11;EGYPT           ;65656225;4410495;29971315;52426;1912
12;GABON           ;1659130;656458;642969;1136;3958
13;GAMBIA          ;461423;61523;209038;875;799
14;GHANA           ;11065511;737701;2467944;14870;902
15;GUINEA          ;2087231;249942;469188;5717;767
16;GUINEA-BISS     ;464551;76975;187036;980;689
17;IVORY COAST     ;9340821;678545;3132856;11902;1213
18;KENYA           ;15010656;2421074;4908176;24160;911
19;LESOTHO         ;1091245;529297;441653;1768;972
20;MADAGASCAR      ;6342816;189103;1449787;11673;675
21;MALAWI          ;2883082;309059;1298049;8507;519
22;MALI            ;3346734;372858;1015251;8460;531
23;MAURITANIA      ;1224178;188455;246082;1969;791
24;MAURITIUS       ;4788474;859791;947653;1075;5838
25;MOROCCO         ;38157314;5343103;12413270;25091;2151
26;MOZAMBIQUE      ;8559058;262621;3700569;15707;760
27;NAMIBIA         ;2542175;418904;1178682;1439;2854
28;NIGERIA         ;56188805;7657759;22207501;96203;995
29;RWANDA          ;3437605;272078;1642935;6921;756
30;SENEGAL         ;6417528;347581;1949843;7404;1145
31;SEYCHELLES      ;157776;51601;104013;68;3973
32;SIERRA LEONE    ;2694286;44718;1013618;4136;901
33;SOUTH AFRICA    ;73851208;15411354;29219927;37959;3248
34;SUDAN           ;12492412;2452848;4373295;25118;757
35;TOGO            ;1634703;298491;589985;3638;641
36;TUNISIA         ;16775673;2654973;4276152;8074;2910
37;UGANDA          ;7536001;162843;1320836;16330;554
38;ZAMBIA          ;3000629;621202;1802596;8050;689
39;ZIMBABWE        ;5968598;1541405;4021560;9805;1182
40;BELIZE          ;336036;139364;175181;188;3464
41;CANADA          ;284208479;120242049;55566401;26522;17173
42;COSTA RICA      ;6736072;1948537;2021869;2994;3499
43;DOMINICAN REP.  ;11369135;3079779;1501584;7074;2166
44;EL SALVADOR     ;6537574;632060;2518805;5172;1824
45;GRENADA         ;243295;40637;33034;91;2881
46;GUATEMALA       ;16236476;1408465;2308318;9197;2127
47;HONDURAS        ;5194863;948994;1159882;5105;1377
48;JAMAICA         ;4359107;1031315;893407;2356;2545
49;MEXICO          ;361916368;71430862;42858517;81724;5827
