NUM;COUNTRY;CONTINENT;Factor1;PC1;Real_GDP_SD
1;ALGERIA         ;AFRICA;0.436114603;-1.133056224;-0.432487138
2;BENIN           ;AFRICA;-0.695778948;1.315902527;-0.809591666
3;BURKINA FASO    ;AFRICA;-0.651217421;1.007011226;-0.892648075
4;BURUNDI         ;AFRICA;-0.839908116;1.542855132;-0.884728271
5;CAMEROON        ;AFRICA;-0.260653238;0.29224804;-0.747451663
6;CAPE VERDE IS.  ;AFRICA;-1.793547384;3.500188446;-0.781567743
7;CENTRAL AFR.R.  ;AFRICA;-1.075096147;2.194017002;-0.878839185
8;CHAD            ;AFRICA;-1.016587478;1.88257563;-0.915392128
9;COMOROS         ;AFRICA;-1.980381953;3.630773617;-0.881885264
10;CONGO           ;AFRICA;-0.813367135;1.484183835;-0.547425836
11;EGYPT           ;AFRICA;0.707786022;-1.437382528;-0.608144336
12;GABON           ;AFRICA;-0.975871636;1.765111367;-0.192659218
13;GAMBIA          ;AFRICA;-1.569105409;2.882256376;-0.834163366
14;GHANA           ;AFRICA;-0.144562533;0.288668884;-0.81324696
15;GUINEA          ;AFRICA;-0.900518824;1.560669115;-0.840661667
16;GUINEA-BISS     ;AFRICA;-1.566895798;2.835328538;-0.856501276
17;IVORY COAST     ;AFRICA;-0.203543567;0.342913381;-0.750091597
18;KENYA           ;AFRICA;0.029829383;-0.314966211;-0.811419313
19;LESOTHO         ;AFRICA;-1.156592514;1.886377653;-0.799031927
20;MADAGASCAR      ;AFRICA;-0.411002899;0.88368727;-0.859344282
21;MALAWI          ;AFRICA;-0.720361164;1.083905612;-0.8910235
22;MALI            ;AFRICA;-0.670145248;1.074970442;-0.888586637
23;MAURITANIA      ;AFRICA;-1.153630423;2.180633849;-0.835787941
24;MAURITIUS       ;AFRICA;-0.538760784;1.37795534;0.189115963
25;MOROCCO         ;AFRICA;0.4509532;-0.934080077;-0.559610151
26;MOZAMBIQUE      ;AFRICA;-0.242764346;0.435992605;-0.84208317
27;NAMIBIA         ;AFRICA;-0.785855254;1.538556656;-0.416850601
28;NIGERIA         ;AFRICA;0.647518324;-1.59053034;-0.794361273
29;RWANDA          ;AFRICA;-0.644593403;1.061445325;-0.842895458
30;SENEGAL         ;AFRICA;-0.387452245;0.805048237;-0.763900487
31;SEYCHELLES      ;AFRICA;-2.048415408;4.007985863;-0.189613139
32;SIERRA LEONE    ;AFRICA;-0.795740485;1.727792159;-0.813450032
33;SOUTH AFRICA    ;AFRICA;0.769676992;-1.620475512;-0.336840271
34;SUDAN           ;AFRICA;-0.046873081;-0.255096414;-0.842692386
35;TOGO            ;AFRICA;-0.98729911;1.643271298;-0.866248727
36;TUNISIA         ;AFRICA;0.058373188;-0.040876838;-0.405478575
37;UGANDA          ;AFRICA;-0.346902962;0.808613707;-0.883915983
38;ZAMBIA          ;AFRICA;-0.679109989;0.869391451;-0.856501276
39;ZIMBABWE        ;AFRICA;-0.356527767;0.275638228;-0.756386827
40;BELIZE          ;AMERICA;-1.702838958;3.239770154;-0.292976739
41;CANADA          ;AMERICA;1.356849201;-2.411065122;2.490936007
42;COSTA RICA      ;AMERICA;-0.347783628;0.681055827;-0.285869222
43;DOMINICAN REP.  ;AMERICA;-0.140760669;0.319392612;-0.556564072
44;EL SALVADOR     ;AMERICA;-0.362332666;0.712027573;-0.626014663
45;GRENADA         ;AMERICA;-1.931952185;4.164949024;-0.41136766
46;GUATEMALA       ;AMERICA;0.00856856;0.212307029;-0.564483876
47;HONDURAS        ;AMERICA;-0.48148141;0.885051268;-0.716787805
48;JAMAICA         ;AMERICA;-0.568060798;1.176152031;-0.47959982
49;MEXICO          ;AMERICA;1.442005424;-2.592460351;0.186882172
50;NICARAGUA       ;AMERICA;-0.728166032;1.216888754;-0.733642773
51;PANAMA          ;AMERICA;-0.604583564;1.023568017;-0.409946156
52;ST.KITTS&NEVIS  ;AMERICA;-2.206714361;4.360426435;0.026455367
53;TRINIDAD&TOBAGO ;AMERICA;-0.42376776;1.166924924;0.580232453
54;U.S.A.          ;AMERICA;2.450017951;-4.548379171;2.669842356
55;ARGENTINA       ;AMERICA;0.889894566;-1.319261352;-0.040761433
56;BOLIVIA         ;AMERICA;-0.25118697;0.600055456;-0.6597246
57;BRAZIL          ;AMERICA;1.539381579;-2.994774859;-0.175601178
58;CHILE           ;AMERICA;0.388256956;-0.864900891;-0.115491894
59;COLOMBIA        ;AMERICA;0.743552963;-1.385265515;-0.326280532
60;ECUADOR         ;AMERICA;0.115266875;-0.240618604;-0.43695472
61;GUYANA          ;AMERICA;-1.557358977;2.619844449;-0.774257154
62;PARAGUAY        ;AMERICA;-0.398747096;0.786659777;-0.564280804
63;PERU            ;AMERICA;0.356000657;-0.821101336;-0.55209649
64;URUGUAY         ;AMERICA;-0.184750208;0.586559572;-0.061880911
65;VENEZUELA       ;AMERICA;0.744317003;-1.2399162;0.233182567
66;BANGLADESH      ;ASIA;0.856528804;-1.83907972;-0.71414787
67;CHINA           ;ASIA;1.925475905;-4.230418051;-0.727550616
68;HONG KONG       ;ASIA;0.592822311;-0.625619048;2.0189969
69;INDIA           ;ASIA;1.757125252;-3.992329511;-0.73973493
70;INDONESIA       ;ASIA;1.218760865;-2.7538097;-0.595553878
71;IRAN            ;ASIA;0.986243946;-1.87377465;-0.307597916
72;ISRAEL          ;ASIA;0.276882572;-0.494515791;0.891744755
73;JAPAN           ;ASIA;1.919898523;-3.666116802;1.913805653
74;JORDAN          ;ASIA;-0.272327215;0.667651758;-0.403650927
75;KOREA. REP.     ;ASIA;1.110521878;-2.174729941;0.358681004
