Estaciones;EC;TDS;Turb;DO;T;Cl-;BOD5;PH;COD;Hard;NO3-;SO4-2
E1;392.50;250.00;32.00;8.48;17.10;57.00;2.00;8.15;12.00;187.00;3.87;51.20
E2;498.00;397.00;51.00;8.20;18.85;159.50;2.00;8.32;8.00;268.00;6.92;82.26
E3;973.00;611.00;56.00;8.20;21.00;230.00;2.50;8.12;16.00;239.00;4.45;87.04
E4;503.50;302.10;29.00;8.45;17.00;101.50;1.75;8.00;12.00;154.00;2.98;44.15
E5;768.00;460.70;49.50;8.30;20.25;149.00;2.00;8.11;36.00;290.00;7.80;93.44
E6;1450.00;882.00;89.00;6.62;23.10;337.50;3.50;8.10;24.00;290.85;3.82;149.67
E7;1325.00;804.00;98.00;6.42;24.55;263.00;4.00;8.08;24.00;376.00;4.22;211.26
E8;1525.00;990.00;76.00;7.76;23.20;391.00;3.00;8.06;36.00;377.50;6.86;181.28
E9;1190.00;714.00;56.00;7.59;22.50;220.00;2.75;8.06;24.00;283.00;6.01;122.24
E10;1400.00;882.00;105.00;7.69;22.75;259.00;3.00;8.15;28.00;325.00;4.65;185.60
E11;1450.00;984.00;115.00;7.30;22.55;275.00;4.00;8.14;32.00;409.00;5.33;243.20
E12;1620.00;984.00;140.00;7.31;22.80;293.00;3.50;8.10;34.00;359.00;4.63;192.76
E13;1365.00;867.00;160.00;7.61;22.85;352.50;3.50;8.30;28.00;466.50;7.68;215.35
E14;1730.00;1071.00;59.00;7.31;23.40;393.50;3.00;8.15;28.00;369.00;4.89;219.52
E15;1700.00;1053.00;70.50;7.50;24.10;426.00;3.80;8.12;28.00;356.00;4.07;210.00
E16;1560.00;960.00;203.00;7.55;23.10;300.00;4.00;8.23;32.00;430.00;7.37;269.44
E17;2610.00;1566.00;769.00;6.31;25.45;572.00;3.20;8.07;44.00;461.70;3.21;269.09
