ACIft,ADI,ACItf,BI,TE,ESM,NDSI,P,M,NP,MID,BNF,MD,FM,SF,RMS,CF,ADIm1,ADIm2,ADIm3,ADIm4,ADIm5,ADIm6,ADIm7,ADIm8,ADIm9,ADIm10,ADIm11,target
0.881962199,1.37958538,0.686408536,0.373568767,0.78066711,-0.995663534,0.102276754,-0.442451947,0.138899512,-0.164821477,0.104948769,-0.514482725,-0.192154113,-0.829137632,0.139879349,0.071232558,-0.546969116,0.087817249,-0.727843588,-0.582862181,-0.308798143,-0.926149853,-0.33105745,-0.084833862,-0.863395405,-1.828042485,-2.117518389,-2.407747106,1
1.022423445,1.613609915,1.378754266,0.689790501,0.740970925,-0.858666168,0.272441903,-0.274769794,0.139989845,-0.145245723,-0.130108245,-0.508200003,0.012233666,-1.340666882,0.147465283,0.077301988,-0.547529646,-0.040984623,-0.678476764,-0.679741467,0.24307821,-0.736513768,-0.277028587,-0.368561052,-0.961068138,-1.967072923,-2.226736818,-2.740342432,1
1.111161041,1.282333177,1.501812872,0.635879209,0.750586921,-1.359903238,0.467130123,0.044668182,0.142089174,-0.047031681,-0.304516815,-0.515765805,-0.051154195,-1.803518517,0.187222687,0.077418358,-0.549002684,0.175422308,-0.429356961,-0.596137143,0.282600545,-0.416819943,-0.122727689,-0.193826556,-0.809834961,-2.247024834,-2.729378196,-2.948248672,1
1.668049565,1.371015119,1.627049212,1.026569763,0.600144119,-1.692529682,0.6093233,0.375187392,0.159900513,0.208658362,-0.531328163,-0.496564989,-0.174623094,-2.055138824,-0.214244705,0.123891484,-0.531358668,-0.253457431,-0.982034101,-1.063290512,0.153703172,-0.902966589,-0.663793521,-0.948217204,-1.586744847,-2.645994708,-2.926667139,-3.717505986,1
1.357598056,1.473565177,1.291146358,0.762732894,0.703073142,-1.255720781,0.26625554,0.170234059,0.145432414,0.152064734,-0.630770568,-0.488857824,-0.10029008,-1.58746388,-0.16479327,0.083173483,-0.542039563,0.225508963,-0.857030584,-0.913719791,0.131136623,-0.725501868,-0.514248235,-0.349673186,-1.01266271,-2.140702952,-2.623220389,-3.301840245,1
0.905797351,0.861637065,1.787184722,0.44764664,0.695667319,-0.80124693,0.208915668,0.359858579,0.147578526,-0.160074517,-0.627550375,-0.465519777,0.002367116,-2.404392939,0.006157682,0.082056868,-0.532456312,-0.580912604,-1.665500548,-1.132920207,-0.025191746,-0.426588206,-0.30454745,-0.236008486,-0.636993717,-1.884549688,-2.252556061,-2.76967735,1
1.202490265,1.047119241,1.583001505,0.583866089,0.678248188,-1.463120449,0.324410718,0.485709657,0.151495311,0.056348615,-0.490916307,-0.451822311,0.001934987,-2.223009401,-0.14419434,0.085987965,-0.535769576,-0.616998623,-1.272875356,-1.098152942,0.252646405,-0.167641881,-0.062751901,-0.101028867,-0.908189262,-2.261685276,-2.885601465,-3.193473878,1
0.664333418,1.155844429,0.474020282,0.661937981,0.665447705,-1.891036162,0.642820754,0.180841327,0.144062975,0.061343577,-0.754964672,-0.496552077,-0.098552105,-2.114546748,-0.331839054,0.09128681,-0.533337505,-0.47097633,-1.317384446,-1.298226515,-0.08273587,-0.192406299,-0.351406428,-0.629702947,-1.561908259,-2.682682404,-2.908725845,-3.171733628,1
0.992874873,1.43042508,0.539384561,0.982857137,0.549246112,-2.273231787,0.889151953,0.074896767,0.158923788,0.224183249,-0.759764125,-0.474810246,-0.339604071,-2.134926484,-0.590491368,0.140979797,-0.530778645,-0.619881313,-1.489728403,-1.124546287,0.152552372,-0.033078703,-0.201372831,-0.605858547,-1.198801193,-2.78347609,-3.429045395,-3.673258711,1
1.409782275,0.854388319,1.3727213,0.479492059,0.632554258,-2.046287024,0.608745158,0.27408775,0.150196918,0.053015218,-0.738834977,-0.470344206,-0.446873526,-2.136290415,-0.539821983,0.097755729,-0.504803559,-0.670648536,-1.593252783,-1.829066919,-0.082484553,-0.213239198,-0.003668579,-0.194428542,-0.929000237,-2.715263813,-3.459791333,-3.414935158,1
0.407199433,0.60275318,0.653692278,-0.144635637,0.768832294,0.343863785,-0.114914599,0.066764053,0.135924307,-0.486725529,-0.65555142,-0.507205553,0.359251135,-1.27651325,0.708902171,0.068718052,-0.554102356,-0.397392081,-1.031961151,-0.153897081,0.141923944,-0.09817292,0.027253499,0.300797822,0.373804826,-0.980503119,-0.964405956,-0.7646438,1
0.482933937,0.089025719,0.405244654,1.776482516,0.58273254,0.600874006,0.447733334,-0.190149551,0.189293251,0.769611233,0.388242605,-0.379069198,0.196131338,-0.80850891,-0.320566232,0.122504967,-0.525410949,0.317874415,-0.046652437,0.112950832,0.618885702,-0.245073971,-0.325794612,0.159056919,0.670454455,-0.442717185,-0.640013586,-0.846874292,1
-0.593731594,0.668040867,-0.472093512,0.345499406,0.89073365,0.88774538,-0.480898171,-0.570053087,0.166345388,-0.592217202,1.162628323,-0.644006372,0.177247171,0.223150263,0.079499167,0.092153102,-0.581187874,1.123550977,0.722292268,0.226448629,0.440220667,-0.369985731,-0.931916659,-0.109839934,-0.160054501,-0.307964711,0.320517371,0.239072909,1
-0.717434499,0.529424078,-0.397023743,0.404748996,0.893598688,1.075955953,-0.484032778,-0.641037513,0.159964877,-0.612768623,0.934117608,-0.647741714,0.305984749,0.057785515,-0.099930105,0.086206707,-0.581031443,1.061690024,0.320119702,-0.178870902,0.498113457,-0.439919583,-0.636715099,-0.393843089,0.075437195,0.196950875,0.473753626,0.53650808,1
-0.425707959,0.957103446,-0.346401309,0.257109066,0.892017002,0.64159261,-0.472889249,-0.565625357,0.153090252,-0.521498705,1.239413254,-0.647586435,0.162923011,0.073941337,0.132128993,0.080045416,-0.580273325,1.080132873,0.814794189,0.434401817,0.335642876,-0.464408387,-1.079728083,-0.347979497,-0.425076511,-0.597475638,0.093243552,0.022549287,1
1.057795002,-0.492716154,-1.642327403,1.002942994,-0.431402859,-0.163960702,0.445923226,3.15488204,-1.133024236,-0.061060495,-1.185937154,-0.483120636,-0.225159212,0.021678525,-0.72270211,-1.016290052,-0.364841578,-0.635789131,-1.015817466,-0.900844424,-0.879235903,-0.849447079,-0.662643584,-0.552613026,-1.80799683,-1.099061748,-1.238844534,-0.674386428,1
0.623629026,-0.097262317,-1.410498875,0.948497182,-0.211117262,-0.131167208,0.586929906,2.061811663,-1.178580011,-0.276865429,-1.101323071,-0.503267188,-0.334808736,0.087195888,-0.729388839,-1.089660643,-0.447109491,-0.522612613,-0.920424063,-0.625851896,-0.804118376,-0.854413878,-0.801018258,-0.711676256,-1.711835175,-0.886450877,-0.944805067,-0.312706292,1
1.16100246,-0.330228469,-0.626338924,0.798767339,-0.309539952,-0.476917312,0.593901022,1.937634944,-1.177462654,-0.145270951,-1.200457522,-0.507079242,-0.423085906,0.202890956,-0.715497384,-1.068626904,-0.433408778,-0.637012483,-0.886205556,-0.600567384,-0.866692723,-0.938411849,-1.147771492,-0.832718353,-1.59553819,-1.080752722,-1.420672209,-0.713127729,1
2.44501971,0.233933684,0.09342325,1.307987145,-0.456433372,-0.643705466,0.867999538,3.325532941,-1.108058247,-0.246155219,-1.193380872,-0.474098589,-0.648004055,0.17396644,-0.958562114,-1.006864232,-0.313548858,-0.590029536,-1.287556619,-0.990524714,-1.114759293,-1.146811974,-1.051094819,-0.67380046,-1.842751563,-1.116504002,-1.349809168,-1.011023727,1
1.205248982,-0.038260601,-0.250690362,0.279348106,-0.060432749,-0.598033833,0.357500222,-0.151738958,-1.190877641,-0.105195034,-0.795506017,-0.508635975,0.603313967,-0.140138928,-0.370983827,-1.094796451,-0.433085788,-1.543898323,-2.754580523,-1.24670348,-0.971300759,-0.472069864,-0.012476197,0.167750694,-0.348151486,-0.931505048,-1.24850931,-0.85369462,1
1.3246907,-0.12724737,0.392165338,0.696737385,-0.17593193,-1.28352409,0.280728477,1.766097811,-1.148089415,-0.037465285,-0.501898341,-0.470025998,-0.403466385,-0.437510411,-0.74668255,-1.075959248,-0.466552497,-1.29033459,-3.498255609,-1.658406479,-0.478718335,-0.405491016,-0.294614211,-0.097444049,-0.581121552,-1.390411525,-1.808725387,-1.013263883,1
-0.456944205,-0.01639657,-0.740647863,-0.013464123,0.882378341,1.050486512,-0.901544214,-0.513348949,0.153009772,-0.455194641,1.533528474,-0.632280177,0.186133277,0.539642072,0.081591711,0.079846809,-0.581071971,0.986222549,0.638104751,0.324303721,1.212977673,-0.018508783,-0.406158339,0.919169809,0.291060984,0.399475769,0.461708297,0.609240468,1
